timestamp,fiedler_value
1781377980.880824,NaN
1781377981.3823416,NaN
1781377981.88225,NaN
1781377982.3829653,NaN
1781377982.880727,NaN
1781377983.3826203,NaN
1781377983.8811805,NaN
1781377984.3807166,NaN
1781377984.8806968,NaN
1781377985.381232,NaN
1781377985.8819187,NaN
1781377986.3813696,NaN
1781377986.8811324,NaN
1781377987.38112,NaN
1781377987.8821208,NaN
1781377988.3821323,NaN
1781377988.8823352,NaN
1781377989.3821616,NaN
1781377989.8875885,NaN
1781377990.3853614,NaN
1781377990.8856957,NaN
1781377991.3945334,NaN
1781377991.8854277,NaN
1781377992.3851602,NaN
1781377992.8825254,NaN
1781377993.381567,NaN
1781377993.8826585,NaN
1781377994.384037,NaN
1781377994.8829038,NaN
1781377995.3828824,NaN
1781377995.8935187,NaN
1781377996.3867905,NaN
1781377996.8825116,NaN
1781377997.3823655,NaN
1781377997.8827014,NaN
1781377998.3816543,NaN
1781377998.8835824,NaN
1781377999.3817196,NaN
1781377999.881474,NaN
1781378000.3836253,NaN
1781378000.888173,NaN
1781378001.3829103,NaN
1781378001.8812842,NaN
1781378002.3832884,NaN
1781378002.88496,NaN
1781378003.3815897,NaN
1781378003.881459,NaN
1781378004.3818243,NaN
1781378004.8844562,NaN
1781378005.3815455,NaN
1781378005.8813484,NaN
1781378006.382099,NaN
1781378006.8838227,NaN
1781378007.3815038,NaN
1781378007.8819888,NaN
1781378008.3848226,NaN
1781378008.8821368,NaN
1781378009.3820708,NaN
1781378009.8815367,NaN
1781378010.3839526,NaN
1781378010.8814228,NaN
1781378011.3868248,NaN
1781378011.8818915,NaN
1781378012.3818517,NaN
1781378012.8814952,NaN
1781378013.3825023,NaN
1781378013.8811095,NaN
1781378014.3827214,NaN
1781378014.882259,NaN
1781378015.3843784,NaN
1781378015.881619,NaN
1781378016.3822567,NaN
1781378016.8829432,NaN
1781378017.383898,NaN
1781378017.88119,NaN
1781378018.3863711,NaN
1781378018.882102,NaN
1781378019.3826659,NaN
1781378019.882363,NaN
1781378020.3844938,NaN
1781378020.8839133,NaN
1781378021.3820596,NaN
1781378021.8833818,NaN
1781378022.3822098,NaN
1781378022.8860958,NaN
1781378023.386835,NaN
1781378023.8814335,NaN
1781378024.3824663,NaN
1781378024.8823254,NaN
1781378025.3835661,NaN
1781378025.8828635,NaN
1781378026.3897002,NaN
1781378026.8814645,NaN
1781378027.3817048,NaN
1781378027.8820636,NaN
1781378028.3819366,NaN
1781378028.8851533,NaN
1781378029.3815796,NaN
1781378029.8833957,NaN
1781378030.3817039,NaN
1781378030.882427,NaN
1781378031.3826294,NaN
1781378031.8810828,NaN
1781378032.3820596,NaN
1781378032.8821144,NaN
1781378033.3833134,NaN
1781378033.8842468,NaN
1781378034.38382,NaN
1781378034.8854065,NaN
1781378035.38575,NaN
1781378035.883585,NaN
1781378036.38701,NaN
1781378036.8813748,NaN
1781378037.3819115,NaN
1781378037.8825657,NaN
1781378038.384036,NaN
1781378038.8835275,NaN
1781378039.3821633,NaN
1781378039.8830884,NaN
1781378040.3820415,NaN
1781378040.8825433,NaN
1781378041.3822381,NaN
1781378041.8828402,NaN
1781378042.3847227,NaN
1781378042.883208,NaN
1781378043.382823,NaN
1781378043.8813546,NaN
1781378044.3836942,NaN
1781378044.883396,NaN
1781378045.3821013,NaN
1781378045.8817732,NaN
1781378046.382229,NaN
1781378046.8826609,NaN
1781378047.3821263,NaN
1781378047.8816702,NaN
1781378048.3828738,NaN
1781378048.8831549,NaN
1781378049.38649,NaN
1781378049.8835213,NaN
1781378050.3816094,NaN
1781378050.8827367,NaN
1781378051.3852804,NaN
1781378051.8827758,NaN
1781378052.3812249,NaN
1781378052.8826702,NaN
1781378053.38192,NaN
1781378053.8819566,NaN
1781378054.3834405,NaN
1781378054.8816674,NaN
1781378055.3831944,NaN
1781378055.8831468,NaN
1781378056.3864655,NaN
1781378056.8819966,NaN
1781378057.3852534,NaN
1781378057.8815937,NaN
1781378058.3840396,NaN
1781378058.8820848,NaN
1781378059.3817298,NaN
1781378059.882094,NaN
1781378060.3824806,NaN
1781378060.884861,NaN
1781378061.3827553,NaN
1781378061.8818293,NaN
1781378062.3834221,NaN
1781378062.8834662,NaN
1781378063.3846927,NaN
1781378063.8839254,NaN
1781378064.3840995,NaN
1781378064.88194,NaN
1781378065.3827627,NaN
1781378065.8833647,NaN
1781378066.388714,NaN
1781378066.8862672,NaN
1781378067.3865068,NaN
1781378067.8835163,NaN
1781378068.382237,NaN
1781378068.881676,NaN
1781378069.3821466,NaN
1781378069.8817697,NaN
1781378070.384407,NaN
1781378070.881315,NaN
1781378071.3814483,NaN
1781378071.8812125,NaN
1781378072.3870668,NaN
1781378072.881696,NaN
1781378073.3816717,NaN
1781378073.8853076,NaN
1781378074.3814762,NaN
1781378074.8844526,NaN
1781378075.3813882,NaN
1781378075.8823292,NaN
1781378076.3836749,NaN
1781378076.8844163,NaN
1781378077.3813615,NaN
1781378077.8825972,NaN
1781378078.3851385,NaN
1781378078.8817956,NaN
1781378079.3818357,NaN
1781378079.8829157,NaN
1781378080.3827324,NaN
1781378080.8810816,NaN
1781378081.3814743,NaN
1781378081.8810985,NaN
1781378082.3855412,NaN
1781378082.8834536,NaN
1781378083.3844,NaN
1781378083.8821688,NaN
1781378084.3862069,NaN
1781378084.8810883,NaN
1781378085.3812351,NaN
1781378085.8812177,NaN
1781378086.382092,NaN
1781378086.8808866,NaN
1781378087.3822684,NaN
1781378087.882341,NaN
1781378088.385656,NaN
1781378088.883487,NaN
1781378089.3814075,NaN
1781378089.8818645,NaN
1781378090.3842115,NaN
1781378090.88212,NaN
1781378091.3819907,NaN
1781378091.8824677,NaN
1781378092.3829389,NaN
1781378092.8808312,NaN
1781378093.3814106,NaN
1781378093.8822362,NaN
1781378094.382728,NaN
1781378094.8833911,NaN
1781378095.3825135,NaN
1781378095.8835843,NaN
1781378096.381594,NaN
1781378096.8815103,NaN
1781378097.3840992,NaN
1781378097.8820496,NaN
1781378098.381782,NaN
1781378098.882272,NaN
1781378099.3823338,NaN
1781378099.8821602,NaN
1781378100.381153,NaN
1781378100.8823907,NaN
1781378101.3853598,NaN
1781378101.881662,NaN
1781378102.3826096,NaN
1781378102.8820584,NaN
1781378103.3825667,NaN
1781378103.8822486,NaN
1781378104.3811934,NaN
1781378104.887343,NaN
1781378105.3829074,NaN
1781378105.8830953,NaN
1781378106.3825715,NaN
1781378106.8807793,NaN
1781378107.3843246,NaN
1781378107.881484,NaN
1781378108.382129,NaN
1781378108.8821518,NaN
1781378109.3818533,NaN
1781378109.8847091,NaN
1781378110.3837695,NaN
1781378110.8818681,NaN
1781378111.382216,NaN
1781378131.249055,NaN
1781378131.7517123,NaN
1781378132.250271,NaN
1781378132.749015,NaN
1781378133.248909,NaN
1781378133.7494745,NaN
1781378134.2504013,NaN
1781378134.750136,NaN
1781378135.2496622,NaN
1781378135.7505755,NaN
1781378136.2489927,NaN
1781378136.7490435,NaN
1781378137.2495644,NaN
1781378137.7496812,NaN
1781378138.2497644,NaN
1781378138.750148,NaN
1781378139.2496133,NaN
1781378139.752939,NaN
1781378140.2576716,NaN
1781378140.7649941,NaN
1781378141.2642193,NaN
1781378141.7548816,NaN
1781378142.2532277,NaN
1781378142.7541425,NaN
1781378143.2523782,NaN
1781378143.7498524,NaN
1781378144.2497602,NaN
1781378144.7531118,NaN
1781378145.2683535,NaN
1781378145.7512183,NaN
1781378146.2519608,NaN
1781378146.7507167,NaN
1781378147.2516415,NaN
1781378147.7503076,NaN
1781378148.2513459,NaN
1781378148.7553675,NaN
1781378149.252178,NaN
1781378149.7567322,NaN
1781378150.2551293,NaN
1781378150.752575,NaN
1781378151.2507036,NaN
1781378151.7493489,NaN
1781378152.264474,NaN
1781378152.7502556,NaN
1781378153.249987,NaN
1781378153.753292,NaN
1781378154.249679,NaN
1781378154.7502694,NaN
1781378155.2491612,NaN
1781378155.7497232,NaN
1781378156.2506614,NaN
1781378156.749499,NaN
1781378157.250776,NaN
1781378157.7499864,NaN
1781378158.2502704,NaN
1781378158.7514884,NaN
1781378159.2496614,NaN
1781378159.7554874,NaN
1781378160.2502794,NaN
1781378160.7509222,NaN
