timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z,robot4_x,robot4_y,robot4_z,robot5_x,robot5_y,robot5_z
1777154958.738509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154959.2338336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154959.7348053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154960.235332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154960.734825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154961.2350662,0.0,0.0,5.0,-3.0,0.0,2.0,1.391419918026223,2.491419918026223,1.9247921740683573,1.307839836052446,-2.7421601639475544,1.8745843481367146,NaN,NaN,NaN
1777154961.7343917,0.0,0.0,5.0,-3.0,0.0,2.0,1.141419918026224,2.241419918026224,1.6747921740683582,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154962.234748,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154962.7338986,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154963.2341788,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154963.7339158,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154964.2341292,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154964.7341633,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154965.2340202,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154965.734452,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154966.2342658,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
1777154966.7349997,0.0,0.0,5.0,-3.0,0.0,2.0,1.116419918026224,2.216419918026224,1.6497921740683583,1.0578398360524468,-2.4921601639475552,1.6245843481367155,0.0,0.0,2.0
