timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z
1777740970.9998763,-3.0,0.0,5.0,3.0,0.0,5.2
1777740971.5005493,-3.0,0.0,5.0,3.0,0.0,5.2
1777740971.9999404,-3.0,0.0,5.0,3.0,0.0,5.2
1777740972.5001724,-3.0,0.0,5.0,3.0,0.0,5.2
1777740973.000441,-3.0,0.0,5.0,3.0,0.0,5.2
1777740973.4999423,-3.0,0.0,5.0,3.0,0.0,5.2
1777740974.0002458,-3.0,0.0,5.0,3.0,0.0,5.2
1777740974.5000765,-3.0,0.0,5.0,3.0,0.0,5.2
1777740974.99998,-3.0,0.0,5.0,3.0,0.0,5.2
1777740975.5003583,-3.0,0.0,5.0,3.0,0.0,5.2
1777740975.9999425,-3.0,0.0,5.0,3.0,0.0,5.2
1777740976.5006158,-3.0,0.0,5.0,3.0,0.0,5.2
1777740976.9999993,-3.0,0.0,5.0,3.0,0.0,5.2
1777740977.5001035,-3.0,0.0,5.0,3.0,0.0,5.2
1777740978.0006726,-3.0,0.0,5.0,3.0,0.0,5.2
1777740978.4999793,-3.0,0.0,5.0,3.0,0.0,5.2
1777740979.0008543,-3.0,0.0,5.0,3.0,0.0,5.2
1777740979.5007334,-3.0,0.0,5.0,3.0,0.0,5.2
1777740980.0003603,-3.0,0.0,5.0,3.0,0.0,5.2
1777740980.4999263,-3.0,0.0,5.0,3.0,0.0,5.2
1777740981.0003445,-3.0,0.0,5.0,3.0,0.0,5.2
1777740981.5005355,-3.0,0.0,5.0,3.0,0.0,5.2
1777740982.0004187,-3.0,0.0,5.0,3.0,0.0,5.2
1777740982.4999642,-3.0,0.0,5.0,3.0,0.0,5.2
1777740983.0006642,-3.0,0.0,5.0,3.0,0.0,5.2
1777740983.5005798,-3.0,0.0,5.0,3.0,0.0,5.2
1777740984.0001132,-3.0,0.0,5.0,3.0,0.0,5.2
1777740984.500513,-3.0,0.0,5.0,3.0,0.0,5.2
1777740985.0004761,-3.0,0.0,5.0,3.0,0.0,5.2
1777740985.5004992,-3.0,0.0,5.0,3.0,0.0,5.2
1777740986.0005603,-3.0,0.0,5.0,3.0,0.0,5.2
1777740986.500395,-3.0,0.0,5.0,3.0,0.0,5.2
1777740987.0001912,-3.0,0.0,5.0,3.0,0.0,5.2
1777740987.5006144,-3.0,0.0,5.0,3.0,0.0,5.2
1777740988.000379,-3.0,0.0,5.0,3.0,0.0,5.2
1777740988.5000038,-3.0,0.0,5.0,3.0,0.0,5.2
1777740989.0004976,-3.0,0.0,5.0,3.0,0.0,5.2
1777740989.500593,-3.0,0.0,5.0,3.0,0.0,5.2
1777740990.000483,-3.0,0.0,5.0,3.0,0.0,5.2
1777740990.5005763,-3.0,0.0,5.0,3.0,0.0,5.2
1777740991.000561,-3.0,0.0,5.0,3.0,0.0,5.2
1777740991.5005214,-3.0,0.0,5.0,3.0,0.0,5.2
1777740992.000284,-3.0,0.0,5.0,3.0,0.0,5.2
1777740992.5003119,-3.0,0.0,5.0,3.0,0.0,5.2
1777740993.000663,-3.0,0.0,5.0,3.0,0.0,5.2
1777740993.5006657,-3.0,0.0,5.0,3.0,0.0,5.2
1777740994.000524,-3.0,0.0,5.0,3.0,0.0,5.2
1777740994.500343,-3.0,0.0,5.0,3.0,0.0,5.2
1777740995.0013509,-3.0,0.0,5.0,3.0,0.0,5.2
1777740995.4999344,-3.0,0.0,5.0,3.0,0.0,5.2
1777740996.0001686,-3.0,0.0,5.0,3.0,0.0,5.2
1777740996.5000925,-3.0,0.0,5.0,3.0,0.0,5.2
1777740996.9999194,-2.9000000000000004,0.0,5.0,3.0,0.0,5.2
1777740997.5006611,-2.400000000000002,0.0,5.0,3.0,0.0,5.2
1777740998.001044,-1.9000000000000035,0.0,5.0,3.0,0.0,5.2
1777740998.4999619,-1.400000000000003,0.0,5.0,3.0,0.0,5.2
1777740999.00058,-0.9000000000000026,0.0,5.0,3.0,0.0,5.2
1777740999.5007021,-0.40000000000000224,0.0,5.0,3.0,0.0,5.2
1777741000.0004601,0.09999999999999772,0.0,5.0,3.0,0.0,5.2
1777741000.500501,0.5999999999999978,0.0,5.0,3.0,0.0,5.2
1777741001.000773,1.099999999999998,0.0,5.0,3.0,0.0,5.2
1777741001.5007074,1.5999999999999985,0.0,5.0,3.0,0.0,5.2
1777741002.00051,2.0999999999999988,0.0,5.0,3.0,0.0,5.2
1777741002.5000944,2.102288325979705,1.208397224677846e-10,4.867375510006712,3.0,0.0,5.2
1777741003.0002782,2.1765090101867304,1.8790348060033314e-10,4.671070093612688,3.0,0.0,5.2
1777741003.4999576,2.3653555529936137,1.5446171974604717e-09,4.427161420422026,3.0,0.0,5.2
1777741004.000366,2.665355531383858,1.6697385014074824e-09,4.292832289856793,3.0,0.0,5.2
1777741004.5003421,2.9153553336435944,1.7831490897475152e-09,4.21473317973277,3.0,0.0,5.2
1777741005.0027947,3.215355253074156,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741005.499955,3.7153552530741543,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741006.0005484,4.2153552530741525,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741006.5005195,4.715355253074151,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741007.0007248,5.215355253074149,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741007.5005836,5.715355253074147,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741008.000537,6.215355253074145,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741008.500277,6.715355253074144,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741008.9999156,7.215355253074142,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741009.4999616,7.71535525307414,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
1777741010.0014348,8.215355253074142,1.78246537028485e-09,4.205391941272584,3.0,0.0,5.2
