timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z
1777154264.1333022,-3.0,0.0,5.0,NaN,NaN,NaN
1777154264.6330452,-3.0,0.0,5.0,NaN,NaN,NaN
1777154265.132964,-3.0,0.0,5.0,3.0,0.0,5.2
1777154265.6331618,-3.0,0.0,5.0,3.0,0.0,5.2
1777154266.1331344,-3.0,0.0,5.0,3.0,0.0,5.2
1777154266.6334746,-3.0,0.0,5.0,3.0,0.0,5.2
1777154267.134489,-3.0,0.0,5.0,3.0,0.0,5.2
1777154267.6334925,-3.0,0.0,5.0,3.0,0.0,5.2
1777154268.1332393,-3.0,0.0,5.0,3.0,0.0,5.2
1777154268.6336675,-3.0,0.0,5.0,3.0,0.0,5.2
1777154269.1334069,-3.0,0.0,5.0,3.0,0.0,5.2
1777154269.6334279,-3.0,0.0,5.0,3.0,0.0,5.2
1777154270.133073,-3.0,0.0,5.0,3.0,0.0,5.2
1777154270.6339703,-3.0,0.0,5.0,3.0,0.0,5.2
1777154271.1333792,-3.0,0.0,5.0,3.0,0.0,5.2
1777154271.6348417,-3.0,0.0,5.0,3.0,0.0,5.2
1777154272.1331048,-3.0,0.0,5.0,3.0,0.0,5.2
1777154272.6338885,-3.0,0.0,5.0,3.0,0.0,5.2
1777154273.133368,-3.0,0.0,5.0,3.0,0.0,5.2
1777154273.6332195,-3.0,0.0,5.0,3.0,0.0,5.2
1777154274.133298,-3.0,0.0,5.0,3.0,0.0,5.2
1777154274.6330776,-3.0,0.0,5.0,3.0,0.0,5.2
1777154275.1332035,-3.0,0.0,5.0,3.0,0.0,5.2
1777154275.6333091,-3.0,0.0,5.0,3.0,0.0,5.2
1777154276.1346555,-3.0,0.0,5.0,3.0,0.0,5.2
1777154276.6331854,-3.0,0.0,5.0,3.0,0.0,5.2
1777154277.133297,-3.0,0.0,5.0,3.0,0.0,5.2
1777154277.6333742,-3.0,0.0,5.0,3.0,0.0,5.2
1777154278.134383,-3.0,0.0,5.0,3.0,0.0,5.2
1777154278.6336184,-3.0,0.0,5.0,3.0,0.0,5.2
1777154279.1332793,-3.0,0.0,5.0,3.0,0.0,5.2
1777154279.6336992,-3.0,0.0,5.0,3.0,0.0,5.2
1777154280.1333945,-3.0,0.0,5.0,3.0,0.0,5.2
1777154280.6334028,-3.0,0.0,5.0,3.0,0.0,5.2
1777154281.1331437,-3.0,0.0,5.0,3.0,0.0,5.2
1777154281.6333966,-3.0,0.0,5.0,3.0,0.0,5.2
1777154282.1337154,-3.0,0.0,5.0,3.0,0.0,5.2
1777154282.6333585,-3.0,0.0,5.0,3.0,0.0,5.2
1777154283.133569,-3.0,0.0,5.0,3.0,0.0,5.2
1777154283.633926,-3.0,0.0,5.0,3.0,0.0,5.2
1777154284.1336515,-2.9000000000000004,0.0,5.0,3.0,0.0,5.2
1777154284.6332216,-2.400000000000002,0.0,5.0,3.0,0.0,5.2
1777154285.1333008,-1.9000000000000035,0.0,5.0,3.0,0.0,5.2
1777154285.6345031,-1.400000000000003,0.0,5.0,3.0,0.0,5.2
1777154286.133115,-0.9000000000000026,0.0,5.0,3.0,0.0,5.2
1777154286.633138,-0.40000000000000224,0.0,5.0,3.0,0.0,5.2
1777154287.133224,0.09999999999999772,0.0,5.0,3.0,0.0,5.2
1777154287.6342134,0.5999999999999978,0.0,5.0,3.0,0.0,5.2
1777154288.1354551,1.099999999999998,0.0,5.0,3.0,0.0,5.2
1777154288.6335504,1.5999999999999985,0.0,5.0,3.0,0.0,5.2
1777154289.133132,2.0999999999999988,0.0,5.0,3.0,0.0,5.2
1777154289.6339526,2.1405975687849543,1.373405072367249e-11,4.868626611616104,3.0,0.0,5.2
1777154290.1335757,2.2089839402651834,-3.054828276835875e-13,4.660036793939933,3.0,0.0,5.2
1777154290.6335075,2.4073852144385177,-3.7476416636587105e-11,4.414856697919247,3.0,0.0,5.2
1777154291.1332178,2.657385261413273,-1.5392701195083927e-10,4.263305760714735,3.0,0.0,5.2
1777154291.6335785,2.9573851279900505,-1.2295883251602926e-10,4.213766348306403,3.0,0.0,5.2
1777154292.133927,3.257386710894591,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154292.6333992,3.7573867108945893,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154293.1334991,4.257386710894588,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154293.6332743,4.757386710894586,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154294.1338086,5.257386710894584,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154294.6331758,5.757386710894583,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154295.1335003,6.257386710894581,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154295.6344886,6.757386710894579,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154296.1339781,7.257386710894577,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154296.6332405,7.7573867108945755,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154297.1332185,8.257386710894579,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154297.633209,8.757386710894586,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154298.1334558,9.257386710894593,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154298.635706,9.7573867108946,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154299.1341386,10.257386710894608,-1.8510410490678504e-10,4.2096639060110865,3.0,0.0,5.2
1777154299.6350245,10.38238671089461,-0.12500000018510413,4.334663906011088,3.0,0.0,5.2
1777154300.134912,10.42866187915502,-0.07390617507642686,4.445862601143792,3.0,0.0,5.2
1777154300.6334138,10.478661879155021,-0.07390617507642686,4.595862601143794,3.0,0.0,5.2
1777154301.13359,10.453661879155021,-0.048906175076426826,4.770862601143796,3.0,0.0,5.2
1777154301.6341658,10.41199979467153,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154302.1333506,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154302.6332054,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154303.133597,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154303.6333644,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154304.1337767,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154304.6331491,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154305.133433,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154305.6331706,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154306.1332,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154306.6331537,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154307.1332226,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
1777154307.63328,10.561999794671532,0.0007596932364768425,4.9241206710892955,3.0,0.0,5.2
