timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z,robot4_x,robot4_y,robot4_z,robot5_x,robot5_y,robot5_z
1777751802.441768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777751802.9454916,NaN,NaN,NaN,NaN,NaN,NaN,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751803.4420764,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751803.9408412,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751804.4410424,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751804.940766,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751805.440807,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751805.94082,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751806.4412599,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751806.9416323,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751807.4409852,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751807.9408007,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
1777751808.440795,-2.5,2.5,5.0,-2.5,-2.5,5.0,2.5,2.5,5.0,2.5,-2.5,5.0,0.0,0.0,2.0
