timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z
1777154595.2660668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1777154595.7659996,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154596.2666826,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154596.7659175,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154597.2665622,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154597.766008,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154598.2661054,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154598.7666252,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154599.2666416,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154599.7666214,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154600.2663238,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154600.7660117,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154601.2659962,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154601.7660382,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154602.2680378,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154602.766669,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154603.2661297,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154603.7663906,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154604.266809,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
1777154604.7662084,3.0,-2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0
